document_id,year,paper,question_number,subquestion,marks,question_text,source_type,segmentation_status
2021_nov_p2_exam_maths,2021,P2,1,1.1,,Calculate the:,exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,1,1.1.1,2.0,Mean number of loaves of bread ordered daily |,exam,ok
2021_nov_p2_exam_maths,2021,P2,1,1.1.2,1.0,Standard deviation of the data,exam,ok
2021_nov_p2_exam_maths,2021,P2,1,1.1.3,2.0,"Number of days on which the number of loaves of bread ordered was

more than one standard deviation above the mean",exam,ok
2021_nov_p2_exam_maths,2021,P2,1,1.2,2.0,"The tuck-shop owner was not able to sell all the loaves of bread delivered daily.

He calculated the mean number of loaves sold over the 18 days to be 20. Calculate the

number of loaves of bread which were NOT sold over the 18 days.",exam,ok
2021_nov_p2_exam_maths,2021,P2,1,1.3,,"One of the two box and whisker diagrams drawn below represents the data given in

the table above.

SOF a
8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42
be es ee ee ee ee ee ee ee ee ee ee ee |
8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,1,1.3.1,2.0,"Which ONE of the two box and whisker diagrams, drawn above, correctly
represents the data? Write down a reason for your answer.",exam,ok
2021_nov_p2_exam_maths,2021,P2,1,1.3.2,,"Describe the skewness of the data. (i)
[10}

Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P2 4 DBE/November 2021
NSC",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,2,2.1,3.0,"On the grid provided in the ANSWER BOOK, draw the scatter plot to represent the

data.",exam,ok
2021_nov_p2_exam_maths,2021,P2,2,2.2,3.0,Determine the equation of the least squares regression line for the data.,exam,ok
2021_nov_p2_exam_maths,2021,P2,2,2.3,2.0,"If the farmer sells a 5-litre container of milk for R38, predict the number of 5-litre

containers of milk he will sell.",exam,ok
2021_nov_p2_exam_maths,2021,P2,2,2.4,,"Refer to the correlation between the price of 5-litre containers of milk and the number

of 5-litre containers of milk sold, and comment on the accuracy of your answer to",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,2,2,,"QUESTION 2.3. (2)

[10}

Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P2 5 DBE/November 2021
NSC",exam,no_sub_markers
2021_nov_p2_exam_maths,2021,P2,3,3.1,,Calculate the gradient of:,exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,3,3.1.1,2.0,BE,exam,ok
2021_nov_p2_exam_maths,2021,P2,3,3.1.2,2.0,AB,exam,ok
2021_nov_p2_exam_maths,2021,P2,3,3.2,2.0,Determine the equation of BE inthe form y = mx +c,exam,ok
2021_nov_p2_exam_maths,2021,P2,3,3.3,,Calculate the:,exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,3,3.3.1,2.0,"Coordinates of B, where k<0",exam,ok
2021_nov_p2_exam_maths,2021,P2,3,3.3.2,4.0,Size of A,exam,ok
2021_nov_p2_exam_maths,2021,P2,3,3.3.3,2.0,"Coordinates of the point of intersection of the diagonals of parallelogram
ACES, where S$ is a point in the first quadrant",exam,ok
2021_nov_p2_exam_maths,2021,P2,3,3.4,,"Another point T(p; p), where p> 0, is plotted such that ET = BE =4-17 units.",exam,missing_marks
2021_nov_p2_exam_maths,2021,P2,3,3.4.1,5.0,Calculate the coordinates of T.,exam,ok
