year,paper,question_number,subquestion,skill_id,expected_answer,question_text_short,marks
2023,P2,1,1.1,stats.regression.equation,y = -23.85 + 0.23x,Least squares regression line,3
2023,P2,1,1.2,stats.regression.predict,y = 102.65,Predict y when x=550,2
2023,P2,1,1.3,stats.correlation.r,r = 0.98,Correlation coefficient,1
2023,P2,1,1.4,stats.correlation.interpret,very strong positive correlation,Interpret r,1
2023,P2,1,1.5.1,stats.mean,x-bar = 150,Mean of data,2
2023,P2,1,1.5.2,stats.standard_deviation,sigma = 50.50,Standard deviation,1
2023,P2,1,1.5.3,stats.standard_deviation.interval,1 stop,x-bar - sigma and count,2
2023,P2,2,2.1,stats.frequency.cumulative,"5; 20; 33; 38",Cumulative frequency column,2
2023,P2,2,2.2,stats.frequency.count,40,Total staff members,1
2023,P2,2,2.3,stats.frequency.median_class,33,Staff members in class,1
2023,P2,2,2.4,stats.mean.parameter,k = 8,Find k from mean condition,4
2023,P2,3,3.1,analytical_geom.distance,SL = 4sqrt(5) = 8.94 units,Distance SL,2
2023,P2,3,3.2,analytical_geom.gradient,m_SN = 4/3,Gradient SN,2
2023,P2,3,3.3,analytical_geom.inclination,theta = 53.13 degrees,Angle of inclination,2
2023,P2,3,3.4,analytical_geom.angle,LNS = 63.44 degrees,Angle LNS,3
2023,P2,3,3.5,analytical_geom.line_equation,y = 4/3 x + 19/3,Equation of SN,3
2023,P2,3,3.6,analytical_geom.area,20 units^2,Area triangle LSN,3
2023,P2,3,3.7,analytical_geom.circumcentre,P(1; 1),Centre of circle through S L N,3
2023,P2,3,3.8,analytical_geom.angle,LPS = 126.87 degrees,Angle LPS,2
2023,P2,4,4.1,analytical_geom.circle.point,p = 4,Find p given D(p;-2) on circle,2
2023,P2,4,4.2,analytical_geom.circle.point,F(8; 6),Coordinates of F,3
2023,P2,4,4.3,analytical_geom.tangent.equation,y = 2x - 10,Equation of DE,4
2023,P2,4,4.4,analytical_geom.parameter,t = 20,Find t,3
2023,P2,4,4.5,analytical_geom.circle.equation,x^2 + y^2 - 40x + 220 = 0,Equation of circle,4
2023,P2,4,4.6,analytical_geom.circle.radius,k = 20-4sqrt(5) or k = 20+4sqrt(5),Values of k,4
2023,P2,5,5.1.1,trig.reduction.cos,cos beta = -2sqrt(2)/3,Find cos beta,3
2023,P2,5,5.1.2,trig.double_angle,sin 2beta = -4sqrt(2)/9,Find sin 2beta,3
2023,P2,5,5.1.3,trig.reduction.cos,cos(450 - beta) = 1/3,Find cos(450 - beta),3
2023,P2,5,5.2.1,trig.identity.prove,LHS = 1 - sin x = RHS,Prove identity,4
2023,P2,5,5.2.2,trig.equation,x = 270 degrees,Solve sin x + 1 = 0 in interval,2
2023,P2,5,5.2.3,trig.minimum,minimum = 0,Minimum value of expression,2
2023,P2,5,5.3.1,trig.compound.prove,sin(A-B) = sinAcosB - cosAsinB,Prove compound angle,3
2023,P2,5,5.3.2,trig.equation.general,x = 42 + k.360 or x = -14 - k.120,General solution,5
2023,P2,5,5.4,trig.identity.prove,LHS = 2 sin x,Simplify trig expression,6
2023,P2,6,6.1,trig.graph.period,180 degrees,Period of f,1
2023,P2,6,6.2,trig.graph.range,y in [-sqrt(2)/2; 1],Range of f,2
2023,P2,6,6.3.1,trig.graph.inequality,x in (45; 90),Where f(x) > g(x),2
2023,P2,6,6.3.2,trig.graph.inequality,x in [105; 165],Where f(x) + 1 <= 0,2
2023,P2,6,6.4,trig.graph.parameter,k = 15 or k = 75,Values of k,3
2023,P2,6,6.5,trig.graph.transform,h(x) = sin x,Equation of h,2
2023,P2,7,7.1,trig.3d.area,SK = 2q/(p sin alpha),Find SK in terms of p q alpha,2
2023,P2,7,7.2,trig.3d.length,RS = 2q tan beta/(p sin alpha),Find RS,2
2023,P2,7,7.3,trig.3d.angle,alpha = 53.51 degrees,Find alpha given values,3
2023,P2,8,8.1,euclidean.circle.angle_centre,TOP = 2 TKP,Prove angle at centre = 2x angle at circumference,5
2023,P2,8,8.2,euclidean.cyclic_quad,x = 32 degrees,Find x in cyclic quad,5
2023,P2,8,8.3.1,euclidean.semicircle.angle,OMB = 90 degrees,Angle in semicircle,2
2023,P2,8,8.3.2,euclidean.circle.radius,OB = 10 units,Find OB,4
2023,P2,9,9.1,euclidean.prop_theorem,FB = 12 units,Find FB,3
2023,P2,9,9.2,euclidean.similarity,EDF ||| EAB,Prove triangles similar,3
2023,P2,9,9.3,euclidean.prop_theorem,FC = 8 units,Find FC,3
2023,P2,10,10.1,euclidean.cyclic_quad,proved,Prove SMRC is cyclic quad,5
2023,P2,10,10.2,euclidean.tangent_chord,proved,Prove RP is tangent,4
2023,P2,10,10.3,euclidean.tangent_chord,proved,Prove RP tangent alternate proof,6
