document_id,year,paper,question_number,subquestion,marks,question_text,source_type,segmentation_status
2022_nov_p1_exam_maths,2022,P1,1,1.1,,Solve for x:,exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,1,1.1.1,2.0,(3x — 6)(x + 2)=0,exam,ok
2022_nov_p1_exam_maths,2022,P1,1,1.1.2,3.0,2x* —6x+1=0 (correct to TWO decimal places),exam,ok
2022_nov_p1_exam_maths,2022,P1,1,1.1.3,4.0,x? -90>x,exam,ok
2022_nov_p1_exam_maths,2022,P1,1,1.1.4,4.0,x—7x =-12,exam,ok
2022_nov_p1_exam_maths,2022,P1,1,1.2,,"Solve for x and y simultaneously:
2x-y=2",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,1,1.3,,"Show that 2.5” ~5”*'+5""*? is even for all positive integer values of 7. (3)
aut",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,1,1.4,25.0,Determine the values of x and y if: ria V96* (4),exam,ok
2022_nov_p1_exam_maths,2022,P1,2,2.1,,"The first term of a geometric series is 14 and the 6"" term is 448.",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,2,2.1.1,2.0,"Calculate the value of the constant ratio, r.",exam,ok
2022_nov_p1_exam_maths,2022,P1,2,2.1.2,4.0,"Determine the number of consecutive terms that must be added to the first
6 terms of the series in order to obtain a sum of 114 674.",exam,ok
2022_nov_p1_exam_maths,2022,P1,2,2.1.3,,"If the first term of another series is 448 and the 6"" term is 14, calculate
the sum to infinity of the new series. (3)
A] 1 1 .",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,2,2.2,,"If > — p+—|=20—, determine the value of &
pa\3 6 6 (5)
[14]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P 1 4 DBE/November 2022
NSC",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,3,3.1,2.0,Show that 5 =4.,exam,ok
2022_nov_p1_exam_maths,2022,P1,3,3.2,2.0,"Determine the value of the 60"" term of this number pattern.",exam,ok
2022_nov_p1_exam_maths,2022,P1,3,3.3,3.0,"Determine the general term for the sequence of first differences of the quadratic
number pattern. Write your answer in the form 7, = mp +q.",exam,ok
2022_nov_p1_exam_maths,2022,P1,3,3.4,10.0,"Which TWO consecutive terms in the quadratic number pattern have a first difference
of 157? (3)",exam,ok
2022_nov_p1_exam_maths,2022,P1,4,4.1,,"Sketched below is the graph of (x)= — +q. The asymptotes of # intersect at
x+p
(13 2),",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,4,4.1.1,2.0,Write down the values of p and q.,exam,ok
2022_nov_p1_exam_maths,2022,P1,4,4.1.2,2.0,Calculate the coordinates of the x-intercept of h.,exam,ok
2022_nov_p1_exam_maths,2022,P1,4,4.1.3,2.0,Write down the x-coordinate of the x-intercept of g if g(x) =h(x +3).,exam,ok
2022_nov_p1_exam_maths,2022,P1,4,4.1.4,2.0,"The equation of an axis of symmetry of h is y=x++¢. Determine the
value of f.",exam,ok
2022_nov_p1_exam_maths,2022,P1,4,4.1.5,,"Determine the values of x for which ~2< a
x-1 (3)
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P 1 5 DBE/November 2022
NSC",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,4,4.2,,"The graphs of f(x)=x?—4x—5 and g(x)=a.2""%+q are sketched below.

e E and H are the x-intercepts of f

e C is the y-intercept of f and lies on the asymptote of g.

e The two graphs intersect at D, the turning point of f

y
f
E H
O x
2 IN
Xp",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,4,4.2.1,1.0,Write down the y-coordinate of C.,exam,ok
2022_nov_p1_exam_maths,2022,P1,4,4.2.2,2.0,Determine the coordinates of D.,exam,ok
2022_nov_p1_exam_maths,2022,P1,4,4.2.3,3.0,Determine the values of a and gq.,exam,ok
2022_nov_p1_exam_maths,2022,P1,4,4.2.4,1.0,Write down the range of g.,exam,ok
2022_nov_p1_exam_maths,2022,P1,4,4.2.5,,"Determine the values of & for which the value of f{x)—k will always be

positive. (2)
[20]

Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P | 6 DBE/November 2022
NSC",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,5,5.1,1.0,Write down the y-coordinate of B.,exam,ok
2022_nov_p1_exam_maths,2022,P1,5,5.2,2.0,Determine the equation of g™ inthe form g@'(x)=mx+n.,exam,ok
2022_nov_p1_exam_maths,2022,P1,5,5.3,3.0,Determine the coordinates of A.,exam,ok
2022_nov_p1_exam_maths,2022,P1,5,5.4,2.0,Calculate the length of AB.,exam,ok
2022_nov_p1_exam_maths,2022,P1,5,5.5,,"Calculate the area of AABC. (5)
{13}

Copyright reserved Please turn over

===== Page 7 =====
Mathematics/P | 7 DBE/November 2022
NSC",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,6,6.1,4.0,"R12 000 was invested in a fund that paid interest at m% p.a., compounded quarterly.

After 24 months, the value of the investment was R13 459.

Determine the value of m.",exam,ok
2022_nov_p1_exam_maths,2022,P1,6,6.2,4.0,"On 31 January 2022, Tino deposited R1 000 in an account that paid interest at 7,5%

p.a., compounded monthly. He continued depositing R1 000 on the last day of every

month. He will make the last deposit on 31 December 2022.

Will Tino have sufficient funds in the account on 1 January 2023 to buy a computer

that costs R13 000? Justify your answer by means of an appropriate calculation.",exam,ok
2022_nov_p1_exam_maths,2022,P1,6,6.3,,"Thabo plans to buy a car that costs R250 000. He will pay a deposit of 15% and take

out a loan for the balance. The interest on the loan is 13% p.a., compounded monthly.",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,6,6.3.1,1.0,Calculate the value of the loan.,exam,ok
2022_nov_p1_exam_maths,2022,P1,6,6.3.2,14.0,"The first repayment will be made 6 months after the loan has been

granted. The loan will be repaid over a period of 6 years after it has been
granted. Calculate the MONTHLY instalment. (5)",exam,ok
2022_nov_p1_exam_maths,2022,P1,7,7.1,5.0,Determine f ‘(x) from first principles if f(x) =x? +x.,exam,ok
2022_nov_p1_exam_maths,2022,P1,7,7.2,,"Determine f ‘(x) if f(x) =2x° —3x4+8x. (3)
73 The tangent to g(x)=ax°+3x*+hx+e has a minimum gradient at the

point (— 1 ;-—7). For which values of x will g be concave up? (4)

[12]

Copyright reserved Please turn over

===== Page 8 =====
Mathematics/P 1 8 DBE/November 2022
NSC",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,8,8.1,6.0,"Determine the values of m, n and k.",exam,ok
2022_nov_p1_exam_maths,2022,P1,8,8.2,,If it is further given that f(x)=—x* +x?+x+4+2:,exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,8,8.2.1,3.0,Determine the coordinates of the turning points of f,exam,ok
2022_nov_p1_exam_maths,2022,P1,8,8.2.2,5.0,"Draw the graph of f Indicate on your graph the coordinates of the turning

points and the intercepts with the axes.",exam,ok
2022_nov_p1_exam_maths,2022,P1,8,8.3,,"Points E and W are two variable points on f’ and are on the same horizontal line.

e h isatangentto /' at E.

e g isatangentto f‘ at W.

e h and g intersect at D(a; d).",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,8,8.3.1,1.0,Write down the value of a.,exam,ok
2022_nov_p1_exam_maths,2022,P1,8,8.3.2,,"Determine the value(s) of 5 for which h and g will no longer be

tangents to f’. (2)
[17]

Copyright reserved Please turn over

===== Page 9 =====
Mathematics/P 1 9 DBE/November 2022
NSC",exam,missing_marks
2022_nov_p1_exam_maths,2022,P1,9,9,,"QUESTION 9
Given f(x)=x’.
Determine the minimum distance between the point (10; 2) anda point on f. [8]",exam,no_sub_markers
