year,document_id,paper,question_number,subquestion,marks,question_text,segmentation_status,topic_v2,subtopic_v2,mapping_method_v2,mapping_confidence_v2,signature_id_v2,_source,inherited_v2
2014,2014_nov_p1_exam_maths,P1,1,1.1,,Solve for x:,stem,ALG,,signature,high,nsc_solve_x,path_a,False
2014,2014_nov_p1_exam_maths,P1,1,1.1.1,2.0,(x-2)4+x)=0,ok,,,unmapped,,,path_a,False
2014,2014_nov_p1_exam_maths,P1,1,1.1.2,4.0,3x° —2x =14 (correct to TWO decimal places),ok,,,unmapped,,,path_a,False
2014,2014_nov_p1_exam_maths,P1,1,1.1.3,6.0,"Pe EF = 2D (3)
Lad Solve the following equations simultaneously:
x=2y4+3
3x? —5xy = 244+16y",ok,ALG,,struct,high,STRUCT_ALG,path_a,False
2014,2014_nov_p1_exam_maths,P1,1,1.3,,"Solve for x: (x—1)x-2)<6 (4)
14 The roots of a quadratic equation are: x = Bie
For which values of k are the roots real? (2)
[21]",missing_marks,ALG,,signature,high,nsc_solve_x,path_a,False
2014,2014_nov_p1_exam_maths,P1,2,2.1,3.0,"Write down the fourth term of the series. (1)
22 Calculate the 251° term of the series.",ok,SEQ,,lexicon,medium,,path_a,False
2014,2014_nov_p1_exam_maths,P1,2,2.3,2.0,Express the series in sigma notation.,ok,SEQ,,struct,high,STRUCT_SEQ,path_a,False
2014,2014_nov_p1_exam_maths,P1,2,2.4,,"Calculate the sum of the series. (2)
25 How many terms in the series are divisible by 4? (4)
[12]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P 1 4 DBE/November 2014
NSC",missing_marks,SEQ,,lexicon,medium,,path_a,False
2014,2014_nov_p1_exam_maths,P1,3,3.1,2.0,"Given the quadratic sequence: —1;—7;-—11;p;...
Silak Write down the value of p.",stem,SEQ,,lexicon,medium,,path_a,False
2014,2014_nov_p1_exam_maths,P1,3,3.1.2,4.0,Determine the n” term of the sequence.,ok,SEQ,,lexicon,medium,,path_a,False
2014,2014_nov_p1_exam_maths,P1,3,3.13,4.0,"The first difference between two consecutive terms of the sequence is 96.
Calculate the values of these two terms.",ok,SEQ,,signature,high,nsc_term_to_term,path_a,False
2014,2014_nov_p1_exam_maths,P1,3,3.2,2.0,"The first three terms of a geometric sequence are: 16; 4; 1
S21 Calculate the value of the 12"" term. (Leave your answer in simplified
exponential form.) (3)
i ae Calculate the sum of the first 10 terms of the sequence.",ok,SEQ,,signature,high,nsc_geometric_seq,path_a,False
2014,2014_nov_p1_exam_maths,P1,3,3.3,,"Determine the value of: (i + aC + AC + + + ‘) ... up to 98 factors.
2 3 4 5 (4)
[19]
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P 1 2) DBE/November 2014
NSC",missing_marks,,,unmapped,,,path_a,False
2014,2014_nov_p1_exam_maths,P1,4,4.1,2.0,Write down the values of p and gq.,ok,,,unmapped,,,path_a,False
2014,2014_nov_p1_exam_maths,P1,4,4.2,2.0,Calculate the x-coordinate of T.,ok,FUNC,,lexicon,medium,,path_a,False
2014,2014_nov_p1_exam_maths,P1,4,4.3,1.0,"Write down the equation of the vertical asymptote of the graph of A,
if h(x) = g(x +5)",ok,FUNC,,signature,high,asymptotes,path_a,False
2014,2014_nov_p1_exam_maths,P1,4,4.4,,"Calculate the length of OS. (5)
- 4.5 For which values of k will the equation g(x) =x +k have two real roots that are of
opposite signs? (1)
[11]
Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P 1 6 DBE/November 2014
NSC",missing_marks,FUNC,,signature,medium,nsc_length,path_a,False
2014,2014_nov_p1_exam_maths,P1,5,5.4,1.0,Write down the domain of g.,ok,FUNC,,signature,high,nsc_domain,path_a,False
2014,2014_nov_p1_exam_maths,P1,6,6.1,2.0,"Determine the x-coordinate of S, correct to TWO decimal places.",ok,FUNC,,lexicon,medium,,path_a,False
2014,2014_nov_p1_exam_maths,P1,6,6.2,2.0,Write down the coordinates of the turning point of g.,ok,CALC,,struct,medium,STRUCT_CALC,path_a,False
2014,2014_nov_p1_exam_maths,P1,6,6.3,,"6.3.1 Write down the length of QKT in terms of x, where x_ is the
x-coordinate of K. (3)
. 6.3.2 Calculate the maximum length of QT. (6)
[13]
Copyright reserved Please turn over

===== Page 8 =====
Mathematics/P 1 8 DBE/November 2014
NSC",missing_marks,CALC,,signature,medium,nsc_maximum,path_a,False
2014,2014_nov_p1_exam_maths,P1,7,7.1,,"Exactly five years ago Mpume bought a new car for R145 000. The current book
value of this car is R72 500. If the car depreciates by a fixed annual rate according to
the reducing-balance method, calculate the rate of depreciation. (3)
- 72 Samuel took out a home loan for R500 000 at an interest rate of 12% per annum,
compounded monthly. He plans to repay this loan over 20 years and his first payment
is made one month after the loan is granted.",missing_marks,FIN,,signature,high,nsc_loan,path_a,False
2014,2014_nov_p1_exam_maths,P1,7,7.2.1,13.0,"Calculate the value of Samuel's monthly instalment. (4)
22 Melissa took out a loan for the same amount and at the same interest rate
as Samuel. Melissa decided to pay R6 000 at the end of every month.
Calculate how many months it took for Melissa to settle the loan. (4)
Tedd Who pays more interest, Samuel or Melissa? Justify your answer. (2)",ok,FIN,,signature,high,nsc_loan,path_a,False
2014,2014_nov_p1_exam_maths,P1,8,8.1,5.0,Determine /’(x) from first principles if f(x) = x°.,ok,CALC,,signature,high,nsc_first_principles,path_a,False
2014,2014_nov_p1_exam_maths,P1,8,8.2,2.0,Determine the derivative of: f(x) = 2x? + > -3,ok,ALG,,struct,high,STRUCT_ALG,path_a,False
2014,2014_nov_p1_exam_maths,P1,8,8.3,,"If y=(x° -1)’, prove that @ a2 7, if x >I, (3)
x",missing_marks,EUCL,,struct,medium,STRUCT_EUCL,path_a,False
