year,document_id,paper,question_number,subquestion,marks,question_text,segmentation_status,topic_v2,subtopic_v2,mapping_method_v2,mapping_confidence_v2,signature_id_v2,_source,inherited_v2,inherited_from_v2
2017,2017_nov_p1_exam_maths,P1,1,1.1,,Solve for x:,stem,ALG,,signature,high,nsc_solve_x,path_a,False,
2017,2017_nov_p1_exam_maths,P1,1,1.1.1,3.0,x? +9x+14=0,ok,ALG,,struct,high,STRUCT_ALG,path_a,False,
2017,2017_nov_p1_exam_maths,P1,1,1.1.2,4.0,"4x°+9x-3=0 (correct to TWO decimal places) (4)
11300 Vx?-5 =2vx",ok,ALG,,struct,high,STRUCT_ALG,path_a,False,
2017,2017_nov_p1_exam_maths,P1,1,1.2,6.0,"Solve for x and y if:
3x-y=4 and x*4+2xy-y? =-2",ok,ALG,,signature,high,nsc_solve_x,path_a,False,
2017,2017_nov_p1_exam_maths,P1,1,1.3,,Given: (x)= x? +8x+16,stem,ALG,,struct,high,STRUCT_ALG,path_a,False,
2017,2017_nov_p1_exam_maths,P1,1,1.3.1,3.0,Solve for x if f(x) >0.,ok,ALG,,signature,high,nsc_solve_x,path_a,False,
2017,2017_nov_p1_exam_maths,P1,1,1.3.2,,"For which values of p will f (x) = p have TWO unequal negative roots? (4)
[24]",missing_marks,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,1,1.1,3.0,Determine the values of a and 3b.,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,1,1.2,2.0,"An athlete runs the 100 metre sprint in 11,7 seconds. Use »=a+bx to predict the
distance of the best long jump of this athlete.",ok,AGEO,,signature,high,distance,path_a,False,
2017,2017_nov_p2_exam_maths,P2,1,1.3,,"Another athlete completes the 100 metre sprint in 12,3 seconds and the distance of his
best long jump is 7,6 metres. If this is included in the data, will the gradient of the
least squares regression line increase or decrease? Motivate your answer without any
further calculations. (2)
[7]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P2 4 DBE/November 2017
NSC",missing_marks,STAT,,signature,high,regression,path_a,False,
2017,2017_nov_p1_exam_maths,P1,2,2.1,,Given the following quadratic number pattern: 5 ; —-4 ; -19 ; 40; ...,stem,SEQ,,signature,high,nsc_quadratic_pattern,path_a,False,
2017,2017_nov_p1_exam_maths,P1,2,2.1.1,4.0,"Determine the constant second difference of the sequence. (2)
212 Determine the n"" term (T,) of the pattern.",ok,SEQ,,signature,high,second_difference,path_a,False,
2017,2017_nov_p1_exam_maths,P1,2,2.1.3,3.0,Which term of the pattern will be equal to —25 939?,ok,SEQ,,lexicon,medium,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,2,2.2,,The first three terms of an arithmetic sequence are 2k-—7 ; k+8 and 2k-1.,stem,SEQ,,signature,high,nsc_arithmetic_seq,path_a,False,
2017,2017_nov_p1_exam_maths,P1,2,2.2.1,5.0,Calculate the value of the 15” term of the sequence.,ok,SEQ,,lexicon,medium,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,2,2.2.2,,"Calculate the sum of the first 30 even terms of the sequence. (4)
[138]",missing_marks,SEQ,,lexicon,medium,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,2,2.1,,Calculate:,stem,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,2,2.1.1,2.0,The mean of the data,ok,STAT,,signature,medium,mean,path_a,False,
2017,2017_nov_p2_exam_maths,P2,2,2.1.2,3.0,The interquartile range of the data,ok,STAT,,signature,high,iqr,path_a,False,
2017,2017_nov_p2_exam_maths,P2,2,2.2,2.0,"The standard deviation of the times taken by the girls is 5,94. How many girls took
longer than ONE standard deviation from the mean to name the colours?",ok,STAT,,signature,high,standard_dev,path_a,False,
2017,2017_nov_p2_exam_maths,P2,2,2.3,3.0,"Draw a box and whisker diagram to represent the data on the number line provided in
the ANSWER BOOK.",ok,STAT,,signature,high,box_whisker,path_a,False,
2017,2017_nov_p2_exam_maths,P2,2,2.4,,"The five-number summary of the times taken by a group of 23 boys in naming the
colours of the rectangles correctly is (15 ; 21 ; 23,5 ; 26 ; 38).",stem,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,2,2.4.1,1.0,"Which of the two groups, girls or boys, had the lower median time to
correctly name the colours of the rectangles?",ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,2,2.4.2,,"The first three learners who named the colours of all 30 rectangles
correctly in the shortest time will receive a prize. How many boys will be
among these three prizewinners? Motivate your answer. (2)
[13]
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P2 5 DBE/November 2017
NSC",missing_marks,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,3,3.1,2.0,"If T,+T, =2, write down an expression for a in terms of +.",ok,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,3,3.2,,"Calculate the values of a and r. (6)
[8]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P1 4 DBE/November 2017
NSC",missing_marks,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,3,3.1,,Calculate:,stem,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,3,3.1.1,4.0,The equation of AC in the form y=mx+e,ok,AGEO,,lexicon,medium,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,3,3.1.2,3.0,The coordinates of G if the equation of BG is 7x— 10y=8,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,3,3.2,2.0,Show by calculation that the coordinates of A is (2 ; 5).,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,3,3.3,4.0,Prove that EF || BG.,ok,EUCL,,struct,medium,STRUCT_EUCL,path_a,False,
2017,2017_nov_p2_exam_maths,P2,3,3.4,,"ABCD is a parallelogram with D in the first quadrant. Calculate the coordinates of D. (4)
[17]
Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P2 6 DBE/November 2017
NSC",missing_marks,FUNC,,signature,high,nsc_log_graph,path_a,False,
2017,2017_nov_p1_exam_maths,P1,4,4.1,5.0,"The gradient of the tangent to the graph of f at the point [-1 ; z) is 3.
Show that a= ; and b=2.",ok,CALC,,signature,high,tangent_gradient,path_a,False,
2017,2017_nov_p1_exam_maths,P1,4,4.2,3.0,Calculate the x-intercepts of f.,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,4,4.3,3.0,Calculate the coordinates of the turning point of £,ok,CALC,,struct,medium,STRUCT_CALC,path_a,False,
2017,2017_nov_p1_exam_maths,P1,4,4.4,4.0,"Sketch the graph of /. Clearly indicate ALL intercepts with the axes and the turing
point.",ok,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,4,4.5,2.0,"Use the graph to determine the values of x for which f(x)> 6. (3)
46 Sketch the graph of g(x) =-x-—1 on the same set of axes as f. Clearly indicate
ALL intercepts with the axes.",ok,,,unmapped,,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,4,4.7,,"Write down the values of x for which /(x).g(x) <0. (3)
[23]
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P 1 5 DBE/November 2017
NSC",missing_marks,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,4,4.1,,Determine:,stem,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,4,4.1.1,4.0,The gradient of SR,ok,AGEO,,signature,high,gradient,path_a,False,
2017,2017_nov_p2_exam_maths,P2,4,4.1.2,2.0,The equation of SR in the form y = mx +c,ok,AGEO,,lexicon,medium,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,4,4.1.3,4.0,"The equation of the circle in the form (x—a)’ +(y—b) =r""",ok,AGEO,,signature,high,circle_equation,path_a,False,
2017,2017_nov_p2_exam_maths,P2,4,4.1.4,3.0,The size of PKR,ok,,,unmapped,,,path_a,False,
2017,2017_nov_p2_exam_maths,P2,4,4.1.5,2.0,The equation of the tangent to the circle at K in the form y = mx +c,ok,CALC,,signature,high,tangent_gradient,path_a,False,
2017,2017_nov_p2_exam_maths,P2,4,4.2,3.0,"Determine the values of t¢ such that the line y = = +t cuts the circle at two different
points.",ok,AGEO,,signature,high,circle_equation,path_a,False,
2017,2017_nov_p2_exam_maths,P2,4,4.3,,"Calculate the area of ASMK. (5)
[23]
Copyright reserved Please turn over

===== Page 7 =====
Mathematics/P2 7 DBE/November 2017
NSC",missing_marks,TRIG,,lexicon,medium,,path_a,False,
2017,2017_nov_p1_exam_maths,P1,5,5.1,2.0,Write down the range of g.,ok,FUNC,,signature,high,nsc_range,path_a,False,
2017,2017_nov_p1_exam_maths,P1,5,5.2,3.0,"Determine the equation of g. (2)
53 Calculate the value of ¢.",ok,,,unmapped,,,path_a,False,
