year,document_id,paper,question_number,subquestion,marks,question_text,segmentation_status
2016,2016_nov_p1_exam_maths,P1,1,1.1,,Solve for x:,missing_marks
2016,2016_nov_p1_exam_maths,P1,1,1.1.1,5.0,"x(x-—7)=0 (2)
Li2 x° —6x +2 =0 (correct to TWO decimal places) (3)
L153 vx-1+1l=x",ok
2016,2016_nov_p1_exam_maths,P1,1,1.1.4,,"3**° 3°? = 486 (4)
ld Given: f(x)=x?+3x-4",missing_marks
2016,2016_nov_p1_exam_maths,P1,1,1.2.1,2.0,"Solve for x if f(x)=0 (2)
Lee Solve for x if f(x)<0 (2)
L223 Determine the values of x for which f/(x) > 0",ok
2016,2016_nov_p1_exam_maths,P1,1,1.3,,"Solve for x and y: x=2y and x’ —Sxy=-24 (4)
[24]",missing_marks
2016,2016_nov_p1_exam_maths,P1,2,2.1,3.0,"Write down the fourth term (T4) of the sequence. (1)
22 Calculate the number of terms in the sequence.",ok
2016,2016_nov_p1_exam_maths,P1,2,2.3,3.0,Calculate the sum of all the negative numbers in the sequence.,ok
2016,2016_nov_p1_exam_maths,P1,2,2.4,,"Consider the sequence: 5 ; 1 ; -3; ... ; -83 ; -87; ... ; 4187
Determine the number of terms in this sequence that will be exactly divisible by 5. (4)
[11]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P | 4 DBE/November 2016
NSC",missing_marks
2016,2016_nov_p1_exam_maths,P1,3,3.1.1,4.0,"Calculate the value(s) of x. (4)
che Be If x = 0, determine the position of the first term in the quadratic number
pattern for which the sum of the first n first differences will be greater
than 250.",ok
2016,2016_nov_p1_exam_maths,P1,3,3.2,,"Rectangles of width 1 cm are drawn from the edge of a sheet of paper that is 30 cm
long such that there is a 1 cm gap between one rectangle and the next. The length of
the first rectangle is 21 cm and the length of each successive rectangle is 85% of the
length of the previous rectangle until there are rectangles drawn along the entire
length of AD. Each rectangle is coloured grey.
A B
|
30 cm
lcm t
dD iE i ae ee a ns weet Aa rte ob oa te xu eS ee ee Cc
21cm",missing_marks
2016,2016_nov_p1_exam_maths,P1,3,3.2.1,3.0,"Calculate the length of the 10"" rectangle.",ok
2016,2016_nov_p1_exam_maths,P1,3,3.22,,"Calculate the percentage of the paper that is coloured grey. (4)
[15]
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P 1 5 DBE/November 2016
NSC",missing_marks
2016,2016_nov_p1_exam_maths,P1,4,4.1,1.0,Write down the equation of the asymptote of A.,ok
2016,2016_nov_p1_exam_maths,P1,4,4.2,1.0,Determine the coordinates of R.,ok
2016,2016_nov_p1_exam_maths,P1,4,4.3,2.0,Calculate the value of a.,ok
2016,2016_nov_p1_exam_maths,P1,4,4.4,4.0,D isa point such that DQ || y-axis and DP || x-axis. Calculate the length of DP.,ok
2016,2016_nov_p1_exam_maths,P1,4,4.5,,"Determine the values of & for which the equation A(x+2)+k=0 will have a root

that is less than —6. (3)
(11]

Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P | 6 DBE/November 2016
NSC",missing_marks
2016,2016_nov_p1_exam_maths,P1,5,5.4,4.0,"Determine the equation of the vertical asymptote of the graph of A if
A(x) = g(x +4) (1)
a5 Determine the values of p and 1.",ok
2016,2016_nov_p1_exam_maths,P1,5,5.6,,"Write down the values of x for which f(x).g’(x)>0 (4)
[14]
Copyright reserved Please turn over

===== Page 7 =====
Mathematics/P | 7 DBE/November 2016
NSC",missing_marks
2016,2016_nov_p1_exam_maths,P1,6,6.1,4.0,"On the same set of axes, sketch the graphs of f and_ g, clearly showing ALL
intercepts with the axes.",ok
2016,2016_nov_p1_exam_maths,P1,6,6.2,2.0,"Write down the equation of g' (x), the inverse of g, inthe form y=...",ok
2016,2016_nov_p1_exam_maths,P1,6,6.3,3.0,"Explain how you will use QUESTION 6.1 and/or QUESTION 6.2 to solve the
equation log, (3 ~ x) =X.",ok
2016,2016_nov_p1_exam_maths,P1,6,6.4,10.0,"Write down the solution to log, (3— x)= x. (1)",ok
2016,2016_nov_p1_exam_maths,P1,7,7.3,5.0,"If Thabiso paid R9 000 as his monthly instalment starting on 1 September 2016,
how many months sooner will he repay the loan?",ok
2016,2016_nov_p1_exam_maths,P1,7,7.4,,"If Thabiso paid R9 000 as a monthly instalment starting on 1 September 2016,
calculate the final instalment to repay the loan. (4)
[15]
Copyright reserved Please turn over

===== Page 8 =====
Mathematics/P 1 8 DBE/November 2016
NSC",missing_marks
2016,2016_nov_p1_exam_maths,P1,8,8.1,5.0,Determine f’(x) from first principles if f(x) =3x?,ok
2016,2016_nov_p1_exam_maths,P1,8,8.2,2.0,"John determines g’(a), the derivative of a certain function g at x =a, and arrives
. V4+h-2
at the answer: -—
Write down the equation of g and the value of a.",ok
2016,2016_nov_p1_exam_maths,P1,8,8.3,,"Determine wy if y= vx? - z (4)
dx x",missing_marks
2016,2016_nov_p1_exam_maths,P1,8,8.4,,"g(x)=-8x+20 isa tangent to f(x)=x°>+ax’+bx+18 at x = 1. Calculate the
values of a and 5b. (5)
[16]",missing_marks
2016,2016_nov_p1_exam_maths,P1,9,9.1,3.0,Calculate the x-coordinates of the stationary points of f.,ok
2016,2016_nov_p1_exam_maths,P1,9,9.2,3.0,For which values of x is f concave down?,ok
2016,2016_nov_p1_exam_maths,P1,9,9.3,2.0,Determine the values of x for which f is strictly increasing.,ok
2016,2016_nov_p1_exam_maths,P1,9,9.4,13.0,"If it is further given that f(x)=ax'+bx?+cx+d and f(0)=~-18, determine the
equation of f. (5)",ok
2016,2016_nov_p1_exam_maths,P1,10,10.1,2.0,"Determine the number of molecules of the drug in the bloodstream 3 hours after the
drug was taken.",ok
2016,2016_nov_p1_exam_maths,P1,10,10.2,3.0,"Determine the rate at which the number of molecules of the drug in the bloodstream is
changing at exactly 2 hours after the drug was taken.",ok
2016,2016_nov_p1_exam_maths,P1,10,10.3,,"How many hours after taking the drug will the rate at which the number of molecules
of the drug in the bloodstream is changing, be a maximum? (3)
[8]
Copyright reserved Please turn over

===== Page 9 =====
Mathematics/P 1 9 DBE/November 2016
NSC",missing_marks
2016,2016_nov_p1_exam_maths,P1,11,11.1,,"Calculate the values of a and b. (2)
LL Are the events ‘being a male’ and 'did not watch TV during examinations’ mutually
exclusive? Give a reason for your answer. (2)
LL If a learner who participated in this survey is chosen at random, what is the
probability that the learner:",missing_marks
2016,2016_nov_p1_exam_maths,P1,11,11.3.1,2.0,Watched TV in the period during which the examinations were written?,ok
2016,2016_nov_p1_exam_maths,P1,11,11.3.2,8.0,"Is not a male and did not watch TV in the period during which
examinations were written? (2)",ok
