year,document_id,paper,question_number,subquestion,marks,question_text,segmentation_status
2020,2020_nov_p1_exam_maths,P1,1,1.1,,Solve for x:,stem
2020,2020_nov_p1_exam_maths,P1,1,1.1.1,2.0,x’ —-6x =0,ok
2020,2020_nov_p1_exam_maths,P1,1,1.1.2,3.0,x’ +10x+8=0 (correct to TWO decimal places),ok
2020,2020_nov_p1_exam_maths,P1,1,1.1.3,3.0,(l—x\{x+2)<0,ok
2020,2020_nov_p1_exam_maths,P1,1,1.1.4,5.0,Vx+18 =x-2,ok
2020,2020_nov_p1_exam_maths,P1,1,1.2,6.0,"Solve simultaneously for x and y:
x+y=3 and 2x°+4xy—-y=15",ok
2020,2020_nov_p1_exam_maths,P1,1,1.3,,"If is the largest integer for which n° < 5°”, determine the value of 7. (3)
[22]",missing_marks
2020,2020_nov_p1_exam_maths,P1,2,2.1,4.0,73x%3;y3-I1 ; ... isan arithmetic sequence. Determine the values of x and y.,ok
2020,2020_nov_p1_exam_maths,P1,2,2.2,,Given the quadratic number pattern: —3 ; 6 ; 27 ; 60; ...,stem
2020,2020_nov_p1_exam_maths,P1,2,2.2.1,4.0,"Determine the general term of the pattern in the form 7, =an*+bn+c.",ok
2020,2020_nov_p1_exam_maths,P1,2,2.2.2,2.0,"Calculate the value of the 50"" term of the pattern.",ok
2020,2020_nov_p1_exam_maths,P1,2,2.2.3,3.0,"Show that the sum of the first n first-differences of this pattern can be
given by S, =6n*+3n.",ok
2020,2020_nov_p1_exam_maths,P1,2,2.2.4,,"How many consecutive first-differences were added to the first term of
the quadratic number pattern to obtain a term in the quadratic number
pattern that has a value of 21 060? (4)
[17]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P 1 4 DBE/November 2020
SC/NSC",missing_marks
2020,2020_nov_p1_exam_maths,P1,3,3.1,,"Prove that 54.37“ is a convergent geometric series. Show ALL your calculations. (3)
k=l
Sy qk _ 2",missing_marks
2020,2020_nov_p1_exam_maths,P1,3,3.2,3.0,"If > 4.3 =>? determine the value of p. (5)
k=p",ok
2020,2020_nov_p1_exam_maths,P1,4,4.1,,"Given: A(x) =—— +2
x-l",stem
2020,2020_nov_p1_exam_maths,P1,4,4.1.1,2.0,Write down the equations of the asymptotes of A.,ok
2020,2020_nov_p1_exam_maths,P1,4,4.1.2,2.0,"Determine the equation of the axis of symmetry of / that has a negative
gradient.",ok
2020,2020_nov_p1_exam_maths,P1,4,4.1.3,,"Sketch the graph of h, showing the asymptotes and the intercepts with
the axes. (4)
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P 1 5 DBE/November 2020
SC/NSC
1 2 1 9",missing_marks
2020,2020_nov_p1_exam_maths,P1,4,4.2,,"The graphs of f(x)= mA +5) —8 and g(x)= 5° + 5 are sketched below.

e Ais the turning point of f

e The axis of symmetry of f intersects the x-axis at E and the line g at D(m; n).

e C isthe y-intercept of f and g.

\y
""Dim; n)
—_ E C x
7 |",stem
2020,2020_nov_p1_exam_maths,P1,4,4.2.1,2.0,Write down the coordinates of A.,ok
2020,2020_nov_p1_exam_maths,P1,4,4.2.2,1.0,Write down the range of f-,ok
2020,2020_nov_p1_exam_maths,P1,4,4.2.3,3.0,Calculate the values of m and n.,ok
2020,2020_nov_p1_exam_maths,P1,4,4.2.4,3.0,Calculate the area of OCDE.,ok
2020,2020_nov_p1_exam_maths,P1,4,4.2.5,2.0,"Determine the equation of g™’, the inverse of g, inthe form y=...",ok
2020,2020_nov_p1_exam_maths,P1,4,4.2.6,,"If h(x)=g'(x)+k isa tangent to f determine the coordinates of the

point of contact between A and f (4)
[23]

Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P1 6 DBE/November 2020
SC/NSC",missing_marks
2020,2020_nov_p1_exam_maths,P1,5,5.1,1.0,Write down the coordinates of A.,ok
2020,2020_nov_p1_exam_maths,P1,5,5.2,3.0,Determine the coordinates of B.,ok
2020,2020_nov_p1_exam_maths,P1,5,5.3,,"Write down the domain of f7'. (2)
. . 27",missing_marks
2020,2020_nov_p1_exam_maths,P1,5,5.4,3.0,Describe the translation from f to A(x) = 3F,ok
2020,2020_nov_p1_exam_maths,P1,5,5.5,,"Determine the values of x for which A(x) <1. (3)
[12]
Copyright reserved Please turn over

===== Page 7 =====
Mathematics/P1 7 DBE/November 2020
SC/NSC",missing_marks
2020,2020_nov_p1_exam_maths,P1,6,6.1,,"On 31 January 2020, Tshepo made the first of his monthly deposits of R1 000 into a
savings account. He continues to make monthly deposits of R1 000 at the end of each
month up until 31 January 2032. The interest rate was fixed at 7,5% p.a., compounded
monthly.",stem
2020,2020_nov_p1_exam_maths,P1,6,6.1.1,4.0,What will the investment be worth immediately after the last deposit?,ok
2020,2020_nov_p1_exam_maths,P1,6,6.1.2,2.0,"If he makes no further payments but leaves the money in the account, how
much money will be in the account on 31 January 2033?",ok
2020,2020_nov_p1_exam_maths,P1,6,6.2,3.0,"Jim bought a new car for R250 000. The value of the car depreciated at a rate of
22% p.a. annually according to the reducing-balance method. After how many years
will its book value be R92 537,64?",ok
2020,2020_nov_p1_exam_maths,P1,6,6.3,,"Mpho is granted a loan under the following conditions:
e The interest rate is 11,3% p.a., compounded monthly.
e The period of the loan is 6 years.
e The monthly repayment on the loan is R1 500.
e Her first repayment is made one month after the loan is granted.",stem
2020,2020_nov_p1_exam_maths,P1,6,6.3.1,3.0,Calculate the value of the loan.,ok
2020,2020_nov_p1_exam_maths,P1,6,6.3.2,,"How much interest will Mpho pay in total over the first 5 years? (4)
[16]",missing_marks
2020,2020_nov_p1_exam_maths,P1,7,7.1,5.0,Determine f ‘(x) from first principles if f(x)=2x?-1.,ok
2020,2020_nov_p1_exam_maths,P1,7,7.2,,"Determine:
721 “Wa? +x) 3)
dx
4x* —9 3",stem
2020,2020_nov_p1_exam_maths,P1,7,7.2.2,,"(x) if f(x)=——_ osx ¥-> 4
f(x) if £@)- 5 (4)
[12]
Copyright reserved Please turn over

===== Page 8 =====
Mathematics/P 1 8 DBE/November 2020
SC/NSC",missing_marks
2020,2020_nov_p1_exam_maths,P1,8,8.1,2.0,For which values of x will g increase?,ok
2020,2020_nov_p1_exam_maths,P1,8,8.2,2.0,Write down the x-coordinate of the point of inflection of g.,ok
2020,2020_nov_p1_exam_maths,P1,8,8.3,2.0,For which values of x will g be concave down?,ok
2020,2020_nov_p1_exam_maths,P1,8,8.4,4.0,"If g‘(x)=—6x? + 6x+12, determine the equation of g.",ok
2020,2020_nov_p1_exam_maths,P1,8,8.5,,"Determine the equation of the tangent to g that has the maximum gradient. Write

your answer in the form y=mx+c. (5S)

[15]

Copyright reserved Please turn over

===== Page 9 =====
Mathematics/P 1 9 DBE/November 2020
SC/NSC",missing_marks
2020,2020_nov_p1_exam_maths,P1,9,9.1,4.0,Show that the cost to construct the box can be calculated by: Cost =90w? +48wh,ok
2020,2020_nov_p1_exam_maths,P1,9,9.2,10.0,Determine the width of the box such that the cost to build the box is a minimum. (6),ok
2020,2020_nov_p1_exam_maths,P1,10,10.1,2.0,How many possible 10-digit telephone numbers could be formed?,ok
2020,2020_nov_p1_exam_maths,P1,10,10.2,,"Certain restrictions were placed on the groups of digits:
e Area code: must be 3 digits and the first digit can NOT be 0 or 1
e Exchange code: must be 3 digits and the first and second digits can NOT
be 0 or 1
e Number: must be 4 digits and the first digit MUST bea 0 or 1",stem
2020,2020_nov_p1_exam_maths,P1,10,10.2.1,3.0,"How many valid 10-digit telephone numbers could be formed by applying
the given restrictions?",ok
2020,2020_nov_p1_exam_maths,P1,10,10.2.2,,"Determine the probability that any randomly chosen 10-digit telephone
number would be a valid phone number. (2)
[7]
Copyright reserved Please turn over

===== Page 10 =====
Mathematics/P 1 10 DBE/November 2020
SC/NSC",missing_marks
