paper,question_number,subquestion,topic,mapping_method,question_text
P2,4,4.2.1,Functions & Graphs,inherited,The circle inthe form (x—a)’ +(y-b) =r’
P1,6,6.2,Finance,inherited,"On 31 January 2022, Tino deposited R1 000 in an account that paid interest at 7,5%

p.a., compounded monthly. He continued depositing R1 000 on the last day of every

month. He will make the last deposit on 31 December 2022.

Will Tino have sufficient funds in the account on 1 January 2023 to buy a computer

that costs R13 000? Justify your answer by means of an appropriate calculation."
P1,10,10.1,Probability,keyword,"A, B and C are three events. The probabilities of these events (or any combination
of them) occurring is given in the Venn-diagram below
y co B"
P1,4,4.2.3,Functions & Graphs,inherited,Determine the values of a and gq.
P1,1,1.1.2,Algebra & Equations,keyword,2x* —6x+1=0 (correct to TWO decimal places)
P2,3,3.1.1,Analytical Geometry,keyword,Gradient of AB
P2,3,3.3,Functions & Graphs,inherited,Calculate the:
P1,4,4.1.3,Functions & Graphs,keyword,Write down the x-coordinate of the x-intercept of g if g(x) =h(x +3).
P2,4,4.4,Analytical Geometry,keyword,"Points A(t; 4) and B are not shown on the diagram.

From point A, another tangent is drawn to touch the circle with centre M at B."
P2,10,10.2,Trigonometry,inherited,AR AC
